event_idx,ticker,event_wall_ts,period,clock,description,event_type,scorer_side,scorer_label,points,pre_score,post_score,pre_diff_for_scorer,pre_capture_lag_ms,pre_yes_bid,pre_yes_ask,pre_mid,first_plus_1c_ms,first_plus_5c_ms,horizon_ms,post_capture_lag_ms,post_yes_bid,post_yes_ask,post_mid,mid_move,ask_move,bid_move
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11.0,82.846923828125,0.33,0.34,0.335,,,100,133.6201171875,0.33,0.34,0.335,0.0,0.0,0.0
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11.0,82.846923828125,0.33,0.34,0.335,,,250,253.30810546875,0.33,0.34,0.335,0.0,0.0,0.0
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11.0,82.846923828125,0.33,0.34,0.335,,,500,522.135009765625,0.33,0.34,0.335,0.0,0.0,0.0
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11.0,82.846923828125,0.33,0.34,0.335,,,1000,1038.72705078125,0.33,0.34,0.335,0.0,0.0,0.0
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11.0,82.846923828125,0.33,0.34,0.335,,,3000,3124.242919921875,0.33,0.34,0.335,0.0,0.0,0.0
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11.0,82.846923828125,0.33,0.34,0.335,,,10000,10001.868896484375,0.33,0.34,0.335,0.0,0.0,0.0
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11.0,82.846923828125,0.33,0.34,0.335,,,60000,60059.154052734375,0.31,0.32,0.315,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018
28,KXNBAGAME-26JUN08SASNYK-SAS,2026-06-09 01:16:39.200000+00:00,2,11:25,C. Bryant 3PT  (3 PTS) (D. Fox 4 AST),threepointmade,away,SAS,3,33-24,36-24,-9.0,26.445068359375,0.64,0.66,0.65,4027.678955078125,,100,109.679931640625,0.65,0.66,0.655,0.0050000000000000044,0.0,0.010000000000000009
28,KXNBAGAME-26JUN08SASNYK-SAS,2026-06-09 01:16:39.200000+00:00,2,11:25,C. Bryant 3PT  (3 PTS) (D. Fox 4 AST),threepointmade,away,SAS,3,33-24,36-24,-9.0,26.445068359375,0.64,0.66,0.65,4027.678955078125,,250,267.092041015625,0.65,0.66,0.655,0.0050000000000000044,0.0,0.010000000000000009
28,KXNBAGAME-26JUN08SASNYK-SAS,2026-06-09 01:16:39.200000+00:00,2,11:25,C. Bryant 3PT  (3 PTS) (D. Fox 4 AST),threepointmade,away,SAS,3,33-24,36-24,-9.0,26.445068359375,0.64,0.66,0.65,4027.678955078125,,500,511.875,0.63,0.66,0.645,-0.0050000000000000044,0.0,-0.010000000000000009
28,KXNBAGAME-26JUN08SASNYK-SAS,2026-06-09 01:16:39.200000+00:00,2,11:25,C. Bryant 3PT  (3 PTS) (D. Fox 4 AST),threepointmade,away,SAS,3,33-24,36-24,-9.0,26.445068359375,0.64,0.66,0.65,4027.678955078125,,1000,1026.27001953125,0.64,0.65,0.645,-0.0050000000000000044,-0.010000000000000009,0.0
28,KXNBAGAME-26JUN08SASNYK-SAS,2026-06-09 01:16:39.200000+00:00,2,11:25,C. Bryant 3PT  (3 PTS) (D. Fox 4 AST),threepointmade,away,SAS,3,33-24,36-24,-9.0,26.445068359375,0.64,0.66,0.65,4027.678955078125,,3000,3130.049072265625,0.65,0.66,0.655,0.0050000000000000044,0.0,0.010000000000000009
28,KXNBAGAME-26JUN08SASNYK-SAS,2026-06-09 01:16:39.200000+00:00,2,11:25,C. Bryant 3PT  (3 PTS) (D. Fox 4 AST),threepointmade,away,SAS,3,33-24,36-24,-9.0,26.445068359375,0.64,0.66,0.65,4027.678955078125,,10000,10161.8291015625,0.67,0.68,0.675,0.025000000000000022,0.020000000000000018,0.030000000000000027
28,KXNBAGAME-26JUN08SASNYK-SAS,2026-06-09 01:16:39.200000+00:00,2,11:25,C. Bryant 3PT  (3 PTS) (D. Fox 4 AST),threepointmade,away,SAS,3,33-24,36-24,-9.0,26.445068359375,0.64,0.66,0.65,4027.678955078125,,60000,60000.962890625,0.67,0.68,0.675,0.025000000000000022,0.020000000000000018,0.030000000000000027
29,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:19:06.300000+00:00,2,10:14,O. Anunoby Free Throw 1 of 3 (7 PTS),freethrowmade,home,NYK,1,36-24,36-25,12.0,97.9951171875,0.35,0.36,0.355,,,100,178.76708984375,0.35,0.36,0.355,0.0,0.0,0.0
29,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:19:06.300000+00:00,2,10:14,O. Anunoby Free Throw 1 of 3 (7 PTS),freethrowmade,home,NYK,1,36-24,36-25,12.0,97.9951171875,0.35,0.36,0.355,,,250,256.782958984375,0.35,0.36,0.355,0.0,0.0,0.0
29,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:19:06.300000+00:00,2,10:14,O. Anunoby Free Throw 1 of 3 (7 PTS),freethrowmade,home,NYK,1,36-24,36-25,12.0,97.9951171875,0.35,0.36,0.355,,,500,501.071044921875,0.35,0.36,0.355,0.0,0.0,0.0
29,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:19:06.300000+00:00,2,10:14,O. Anunoby Free Throw 1 of 3 (7 PTS),freethrowmade,home,NYK,1,36-24,36-25,12.0,97.9951171875,0.35,0.36,0.355,,,1000,1015.69189453125,0.35,0.36,0.355,0.0,0.0,0.0
29,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:19:06.300000+00:00,2,10:14,O. Anunoby Free Throw 1 of 3 (7 PTS),freethrowmade,home,NYK,1,36-24,36-25,12.0,97.9951171875,0.35,0.36,0.355,,,3000,3007.14892578125,0.35,0.36,0.355,0.0,0.0,0.0
